Reference,Ref in Sefaria,Pages in K&E,Hebrew in Sefaria,Other English in Sefaria,Text Placed
Genesis 5:2,yes,"80-81, 159, 194, 195",yes,yes,no
Genesis 5:3,yes,88,yes,yes,no
Genesis 6:6,yes,52,yes,yes,no
Genesis 7:22,yes,73,yes,yes,no
Genesis 8:1,yes,"140, 153, 154",yes,yes,no
Genesis 8:8-11,yes,150,yes,yes,no
Genesis 8:11,yes,345,yes,yes,no
Genesis 9:1-2,yes,"150, 159",yes,yes,no
Genesis 9:2,yes,"100, 160, 228",yes,yes,no
Genesis 9:4,yes,"140, 150",yes,yes,no
Genesis 9:5,yes,"88, 103, 155, 157",yes,yes,no
Genesis 9:6,yes,"39, 44, 81, 82, 93, 97, 102, 103, 104, 110, 156",yes,yes,no
Genesis 9:7,yes,"44, 82, 103, 159",yes,yes,no
Genesis 9:14,yes,358,yes,yes,no
Genesis 17:1,yes,"69, 88, 105",yes,yes,no
Genesis 17:4,yes,185,yes,yes,no
Genesis 18:27,yes,118,yes,yes,no
Genesis 24:63,yes,330,yes,yes,no
Genesis 28:12,yes,"198, 205, 228",yes,yes,no
Genesis 34:3,yes,355,yes,yes,no
Genesis 35:18,yes,356,yes,yes,no
Genesis 41:38,yes,355,yes,yes,no
Genesis 49:24,yes,358,yes,yes,no
Exodus 1:7,yes,159,yes,yes,no
Exodus 4:11,yes,66,yes,yes,no
Exodus 10:5,yes,243,yes,yes,no
Exodus 11:17,yes,154,no,no,no
Exodus 12:2,yes,311,yes,yes,no
Exodus 12:9,yes,298,yes,yes,no
Exodus 12:19,yes,185,yes,yes,no
Exodus 15:2,yes,106,yes,yes,no
Exodus 15:27,yes,188,yes,yes,no
Exodus 17:6,yes,90,yes,yes,no
Exodus 20:2,yes,102,yes,yes,no
Exodus 20:12,yes,102,yes,yes,no
Exodus 20:22,yes,163,yes,yes,no
Exodus 22:30,yes,154,yes,yes,no
Exodus 23:9,yes,355,yes,yes,no
Exodus 24:10,yes,"216, 257",yes,yes,no
Exodus 24:10-11,yes,44,yes,yes,no
Exodus 25:17-21,yes,196,yes,yes,no
Exodus 26:6,yes,202,yes,yes,no
Exodus 26:20,yes,79,yes,yes,no
Exodus 26:24,yes,191,yes,yes,no
Exodus 31:3,yes,355,yes,yes,no
Exodus 31:17,yes,322,yes,yes,no
Exodus 32:12,yes,198,yes,yes,no
Exodus 33:19,yes,"20, 71",yes,yes,no
Exodus 36:13,yes,202,yes,yes,no
Exodus 36:18,yes,"212-13, 357",yes,yes,no
Leviticus 7:20-21,yes,185,yes,yes,no
Leviticus 7:23-27,yes,145,yes,yes,no
Leviticus 7:26-27,yes,145,yes,yes,no
Leviticus 7:27,yes,185,yes,yes,no
Leviticus 11:19,yes,346,yes,yes,no
Leviticus 14,yes,144,yes,yes,no
Leviticus 17:10-12,yes,"140, 145",yes,yes,no
Leviticus 17:13,yes,"144, 146-7, 349",yes,yes,no
Leviticus 17:14,yes,"147, 355",yes,yes,no
Leviticus 19:2,yes,"105, 106",yes,yes,no
Leviticus 19:18,yes,"103, 164-5",yes,yes,no
Leviticus 19:19,yes,"220, 349",yes,yes,no
Leviticus 19:23,yes,106,yes,yes,no
Leviticus 19:23-25,yes,88,yes,yes,no
Leviticus 19:26,yes,145,yes,yes,no
Leviticus 20:26,yes,"105, 291",yes,yes,no
Leviticus 22:3,yes,185,yes,yes,no
Leviticus 23:3,yes,322,yes,yes,no
Leviticus 25,yes,"166, 272",yes,yes,no
Leviticus 25:7,yes,"127, 144",yes,yes,no
Leviticus 25:23,yes,10,yes,yes,no
Leviticus 25:34,yes,166,yes,yes,no
Leviticus 26,yes,"166, 272",yes,yes,no
Leviticus 26:4,yes,"300, 358",yes,yes,no
Leviticus 26:16,yes,157,yes,yes,no
Leviticus 26:19,yes,344,yes,yes,no
Leviticus 26:20,yes,157,yes,yes,no
Leviticus 26:22,yes,157,yes,yes,no
Leviticus 26:26,yes,157,yes,yes,no
Leviticus 26:29,yes,157,yes,yes,no
Leviticus 26:34,yes,"127, 166",yes,yes,no
Leviticus 26:38,yes,157,yes,yes,no
Leviticus 26:43,yes,"127, 166",yes,yes,no
Numbers 5:2,yes,356,yes,yes,no
Numbers 7:1,yes,202,yes,yes,no
Numbers 9:6-7,yes,356,yes,yes,no
Numbers 12:8,yes,44,yes,yes,no
Numbers 13:20,yes,219,yes,yes,no
Numbers 15:30,yes,185,yes,yes,no
Numbers 15:39,yes,216,yes,yes,no
Numbers 16:20,yes,355,yes,yes,no
Numbers 19,yes,144,yes,yes,no
Numbers 19:13,yes,185,yes,yes,no
Numbers 20:7-11,yes,162,yes,yes,no
Numbers 22:18,yes,66,yes,yes,no
Numbers 22:28-30,yes,153,yes,yes,no
Numbers 23:5,yes,66,yes,yes,no
Numbers 24:13,yes,66,yes,yes,no
Numbers 27:16,yes,355,yes,yes,no
Numbers 27:18,yes,355,yes,yes,no
Deuteronomy 4:24,yes,106,yes,yes,no
Deuteronomy 4:32,yes,"247, 253",yes,yes,no
Deuteronomy 4:35,yes,51,yes,yes,no
Deuteronomy 10:7,yes,224,yes,yes,no
Deuteronomy 11:10,yes,15,yes,yes,no
Deuteronomy 11:11,yes,"15, 51",yes,yes,no
Deuteronomy 11:12,yes,15,yes,yes,no
Deuteronomy 11:13,yes,167,yes,yes,no
Deuteronomy 11:13-21,yes,"2, 127",yes,yes,no
Deuteronomy 12:16,yes,"145, 349",yes,yes,no
Deuteronomy 12:23-25,yes,"140, 349",yes,yes,no
Deuteronomy 13:5,yes,105,yes,yes,no
Deuteronomy 14:1,yes,88,yes,yes,no
Deuteronomy 15:23,yes,349,yes,yes,no
Deuteronomy 20:19,yes,"12, 162, 306",yes,yes,no
Deuteronomy 21:23,yes,103,yes,yes,no
Deuteronomy 22:6,yes,145,yes,yes,no
Deuteronomy 22:6-7,yes,147,yes,yes,no
Deuteronomy 22:9-11,yes,349,yes,yes,no
Deuteronomy 22:19,yes,200,yes,yes,no
Deuteronomy 25:4,yes,145,yes,yes,no
Deuteronomy 26:2,yes,358,yes,yes,no
Deuteronomy 26:4,yes,358,yes,yes,no
Deuteronomy 26:15,yes,358,yes,yes,no
Deuteronomy 28:23,yes,344,yes,yes,no
Deuteronomy 29:23,yes,198,yes,yes,no
Deuteronomy 30:19,yes,127,yes,yes,no
Deuteronomy 32:1,yes,59,yes,yes,no
Deuteronomy 33:26,yes,53,yes,yes,no
I Samuel 16:7,yes,282,yes,yes,no
I Samuel 22:16,yes,321,yes,yes,no
I Samuel 28:20,yes,282,yes,yes,no
II Samuel 22:16,yes,356,yes,yes,no
I Kings 5:13,yes,325,yes,yes,no
II Kings 4:27,yes,355,yes,yes,no
Isaiah 6:1,yes,205,yes,yes,no
Isaiah 6:3,yes,"52, 65, 260, 283",yes,yes,no
Isaiah 34:4,yes,59,yes,yes,no
Isaiah 37:31,yes,357,yes,yes,no
Isaiah 40:26,yes,"272, 319",yes,yes,no
Isaiah 44:13,yes,80,yes,yes,no
Isaiah 45:12,yes,57,yes,yes,no
Isaiah 45:8,yes,87,yes,yes,no
Isaiah 51:6,yes,59,yes,yes,no
Isaiah 66:8,yes,243,yes,yes,no
Jeremiah 14:21,yes,205,yes,yes,no
Jeremiah 17:12,yes,205,yes,yes,no
Jeremiah 17:13,yes,"178, 193, 287",yes,yes,no
Jeremiah 23:24,yes,"256, 260",yes,yes,no
Ezekiel 1,yes,205,yes,yes,no
Ezekiel 1:5,yes,197,yes,yes,no
Ezekiel 1:10,yes,"100, 223, 224",yes,yes,no
Ezekiel 1:12,yes,78,yes,yes,no
Ezekiel 1:14,yes,221,yes,yes,no
Ezekiel 1:26,yes,216,yes,yes,no
Ezekiel 1:26-27,yes,44,yes,yes,no
Ezekiel 1:28,yes,222,yes,yes,no
Ezekiel 24:7-8,yes,137,yes,yes,no
Ezekiel 31:3-8,yes,282,yes,yes,no
Ezekiel 47:12,yes,357,yes,yes,no
Hosea 12:11,yes,197,yes,yes,no
Hosea 14:9,yes,357,yes,yes,no
Jonah 2:11,yes,84,yes,yes,no
Micah 6:8,yes,105,yes,yes,no
Malachi 3:11,yes,358,yes,yes,no
Malachi 3:19,yes,344,yes,yes,no
Psalms 5:3,yes,358,yes,yes,no
Psalms 8:2,yes,"208, 238",yes,yes,no
Psalms 8:6,yes,"183, 210",yes,yes,no
Psalms 8:7,yes,210,yes,yes,no
Psalms 8:10,yes,208,yes,yes,no
Psalms 11:7,yes,149,yes,yes,no
Psalms 16:8,yes,69,yes,yes,no
Psalms 18:16,yes,356,yes,yes,no
Psalms 19:6,yes,203,yes,yes,no
Psalms 21:7,yes,358,yes,yes,no
Psalms 25:10,yes,105,yes,yes,no
Psalms 37:29,yes,337,yes,yes,no
Psalms 39:1,yes,44,yes,yes,no
Psalms 46:9,yes,237,yes,yes,no
Psalms 49:21,yes,285,yes,yes,no
Psalms 50:10,yes,321,yes,yes,no
Psalms 78:20,yes,162,yes,yes,no
Psalms 82:6-7,yes,135,yes,yes,no
Psalms 84:11,yes,206,yes,yes,no
Psalms 89:3,yes,345,yes,yes,no
Psalms 92:1-2,yes,323,yes,yes,no
Psalms 92:13,yes,"178, 189",yes,yes,no
Psalms 93:1,yes,65,yes,yes,no
Psalms 93:3,yes,323,yes,yes,no
Psalms 95,yes,91,yes,yes,no
Psalms 96:6,yes,321,yes,yes,no
Psalms 96:11,yes,"252, 319",yes,yes,no
Psalms 96:12,yes,"319, 320, 358",yes,yes,no
Psalms 97:1,yes,320,yes,yes,no
Psalms 102:26,yes,59,yes,yes,no
Psalms 103:1,yes,133,yes,yes,no
Psalms 104:13,yes,357,yes,yes,no
Psalms 104:24,yes,"17, 65, 164, 203",yes,yes,no
Psalms 104:31,yes,284,yes,yes,no
Psalms 107:37,yes,357,yes,yes,no
Psalms 119:1,yes,91,yes,yes,no
Psalms 122:4,yes,224,yes,yes,no
Psalms 139:5,yes,"79, 197, 247, 248",yes,yes,no
Psalms 139:16,yes,247,yes,yes,no
Psalms 139:5,yes,91,yes,yes,no
Psalms 144:4,yes,285,yes,yes,no
Psalms 145:9,yes,"146, 149, 153",yes,yes,no
Proverbs 3:18,yes,199,yes,yes,no
Proverbs 8:26,yes,243,yes,yes,no
Proverbs 9:3,yes,100,yes,yes,no
Proverbs 11:30,yes,140,yes,yes,no
Proverbs 12:10,yes,140,yes,yes,no
Proverbs 20:22,yes,290,yes,yes,no
Proverbs 20:27,yes,"74, 141",yes,yes,no
Proverbs 21:23,yes,155,yes,yes,no
Proverbs 29:7,yes,155,yes,yes,no
Job 16:8,yes,137,yes,yes,no
Job 26:11,yes,203,yes,yes,no
Job 29:18,yes,346,yes,yes,no
Job 38:4-7,yes,52,yes,yes,no
Song of Songs 3:9,yes,"100, 202",yes,yes,no
Song of Songs 3:10,yes,"100, 203",yes,yes,no
Song of Songs 3:11,yes,286,yes,yes,no
Song of Songs 4:5,yes,200,yes,yes,no
Song of Songs 5:1,yes,336,yes,yes,no
Song of Songs 5:10,yes,222,yes,yes,no
Song of Songs 5:11,yes,206,yes,yes,no
Song of Songs 5:14,yes,188,yes,yes,no
Song of Songs 5:15,yes,188,yes,yes,no
Song of Songs 7:8,yes,"178, 283, 286, 287",yes,yes,no
Song of Songs 8:6,yes,302,yes,yes,no
Song of Songs 8:11,yes,357,yes,yes,no
Ruth 3:6-8,yes,289,yes,yes,no
Ruth 3:8,yes,295,yes,yes,no
Ruth 3:9,yes,289,yes,yes,no
Ecclesiastes 1:2,yes,228,yes,yes,no
Ecclesiastes 1:4,yes,"119, 243",yes,yes,no
Ecclesiastes 3:11,yes,242,yes,yes,no
Ecclesiastes 3:14,yes,18,yes,yes,no
Ecclesiastes 3:21,yes,"129, 137, 141",yes,yes,no
Ecclesiastes 5:8,yes,216,yes,yes,no
Ecclesiastes 7:13,yes,119,yes,yes,no
Ecclesiastes 7:14,yes,219,yes,yes,no
Ecclesiastes 7:29,yes,108,yes,yes,no
Ecclesiastes 10:20,yes,"220, 326",yes,yes,no
Ecclesiastes 12:13,yes,"117, 253, 263",yes,yes,no
Esther 1:8,yes,164,yes,yes,no
Daniel 7:9-10,yes,44,yes,yes,no
Daniel 12:7,yes,"242, 275",yes,yes,no
I Chronicles 12:10,yes,130,yes,yes,no
I Chronicles 16:27,yes,321,yes,yes,no
Mishnah Kiddushin 1:9,yes,350,yes,yes,no
Mishnah Sanhedrin 4:5,yes,"114, 117, 121, 137, 302",yes,yes,no
Mishnah Sanhedrin 6:5,yes,26,yes,yes,no
Mishnah Sanhedrin 6:6,yes,103,yes,yes,no
Pirkei Avot 2:1,yes,339,yes,yes,no
Pirkei Avot 3:13,yes,39,yes,yes,no
Pirkei Avot 3:21,yes,305,no,no,no
Pirkei Avot 4:29,yes,284,no,no,no
Pirkei Avot 4:3,yes,163,yes,yes,no
Pirkei Avot 5:1,yes,114,yes,yes,no
Pirkei Avot 5:21,yes,91,yes,yes,no
Tosefta Yevamot 8:5,yes,82,yes,no,no
Tosefta Sanhedrin 8:4,yes,"99, 100",yes,no,no
Tosefta Sanhedrin 9:3,yes,164-5,yes,no,no
Mekhilta d'Rabbi Yishmael Pischa 1,no,79,no,no,no
Mekhilta d'Rabbi Yishmael Bachodesh 8,no,102,no,no,no
Mekhilta d'Rabbi Yishmael Bachodesh 11,no,163,no,no,no
Mekhilta d'Rabbi Yishmael Kaspa 20,no,154,no,no,no
Mekhilta d'Rabbi Yishmael Shirah 3,no,106,no,no,no
Mekhilta d'Rabbi Yishmael Vayisa 6,no,90,no,no,no
Sifra Kedoshim 1:1,no,106,no,no,no
Sifra Kedoshim 4:12,no,"82, 103",no,no,no
Sifra Shemini 5:7,no,18,no,no,no
Sifrey Devarim 37,no,19,no,no,no
Sifrey Devarim 203,no,162,no,no,no
Sifrey Devarim 306,no,135,no,no,no
Sifrey Devarim 355,no,53,no,no,no
Sifrey Bamidbar 115,no,"205, 216",no,no,no
Bereishit Rabbah 1:4,yes,205,yes,yes,no
Bereishit Rabbah 19:5,yes,346,yes,no,no
Bereishit Rabbah 2:2,yes,51,yes,no,no
Bereishit Rabbah 5:3,yes,323,yes,no,no
Bereishit Rabbah 5:4,yes,86,yes,no,no
Bereishit Rabbah 5:8,yes,101,yes,no,no
Bereishit Rabbah 5:9,yes,99,yes,yes,no
Bereishit Rabbah 5:13,yes,87,no,no,no
Bereishit Rabbah 8:1,yes,"79, 97, 99, 136, 137, 247, 248",yes,no,no
Bereishit Rabbah 8:3-4,yes,101,yes,no,no
Bereishit Rabbah 8:6,yes,99,yes,no,no
Bereishit Rabbah 8:7,yes,101,yes,no,no
Bereishit Rabbah 8:8,yes,51,yes,no,no
Bereishit Rabbah 8:9,yes,"81, 84, 86",yes,no,no
Bereishit Rabbah 8:10,yes,64,yes,no,no
Bereishit Rabbah 8:11,yes,"47-52, 54, 59, 61, 76-9, 86, 89, 136, 194",yes,no,no
Bereishit Rabbah 9:2,yes,242,yes,yes,no
Bereishit Rabbah 9:3,yes,51,yes,no,no
Bereishit Rabbah 9:12,yes,253,yes,no,no
Bereishit Rabbah 10:6,yes,322,yes,no,no
Bereishit Rabbah 12:5,yes,57,yes,no,no
Bereishit Rabbah 12:6,yes,"90, 248, 283-4",yes,no,no
Bereishit Rabbah 12:7,yes,60,yes,no,no
Bereishit Rabbah 12:8,yes,"55, 73, 138",yes,no,no
Bereishit Rabbah 12:12,yes,51,yes,no,no
Bereishit Rabbah 13:2,yes,324,yes,no,no
Bereishit Rabbah 13:10,yes,51,yes,no,no
Bereishit Rabbah 13:13,yes,87,yes,no,no
Bereishit Rabbah 14:1,yes,57,yes,no,no
Bereishit Rabbah 14:3,yes,"47, 136",yes,no,no
Bereishit Rabbah 14:7,yes,80,yes,no,no
Bereishit Rabbah 14:8,yes,"247, 248",yes,no,no
Bereishit Rabbah 14:9,yes,"136, 137, 138",yes,yes,no
Bereishit Rabbah 14:10,yes,"80, 136",yes,yes,no
Bereishit Rabbah 15:1,yes,218,yes,no,no
Bereishit Rabbah 17:2,yes,"80, 248",yes,no,no
Bereishit Rabbah 17:4,yes,64,yes,yes,no
Bereishit Rabbah 17:8,yes,57,yes,yes,no
Bereishit Rabbah 19:1,yes,84,yes,yes,no
Bereishit Rabbah 19:4,yes,"55, 99-100",yes,no,no
Bereishit Rabbah 19:5,yes,50,yes,no,no
Bereishit Rabbah 19:7,yes,336,yes,no,no
Bereishit Rabbah 19:8,yes,324,yes,no,no
Bereishit Rabbah 20:3,yes,83,yes,yes,no
Bereishit Rabbah 20:5,yes,84,yes,no,no
Bereishit Rabbah 20:8,yes,"50, 99",yes,no,no
Bereishit Rabbah 21:2,yes,80,yes,no,no
Bereishit Rabbah 21:3,yes,247,yes,no,no
Bereishit Rabbah 22:2,yes,81,yes,yes,no
Bereishit Rabbah 22:9,yes,137,yes,no,no
Bereishit Rabbah 24:2,yes,247,yes,no,no
Bereishit Rabbah 24:7,yes,104,yes,yes,no
Bereishit Rabbah 25:2,yes,99,yes,no,no
Bereishit Rabbah 27:4,yes,52,yes,no,no
Bereishit Rabbah 28:8,yes,"52, 154",yes,no,no
Bereishit Rabbah 30:6,yes,140,yes,no,no
Bereishit Rabbah 30:7,yes,218,yes,no,no
Bereishit Rabbah 33:1,yes,125,yes,no,no
Bereishit Rabbah 33:3,yes,"146, 149",yes,no,no
Bereishit Rabbah 33:6,yes,151,yes,no,no
Bereishit Rabbah 34:14,yes,82,yes,yes,no
Bereishit Rabbah 38:6,yes,51,yes,no,no
Bereishit Rabbah 78:3,yes,51,yes,no,no
Bereishit Rabbah 79:8,yes,52,yes,no,no
Vayikra Rabbah 8:1,yes,79,yes,no,no
Vayikra Rabbah 9:9,yes,"55, 138",yes,no,no
Vayikra Rabbah 14:1,yes,"79, 99, 247",yes,yes,no
Vayikra Rabbah 18:2,yes,247,yes,no,no
Vayikra Rabbah 24:8,yes,51,yes,no,no
Vayikra Rabbah 25:3,yes,106,yes,no,no
Kohelet Rabbah 1:4,yes,"119, 243",yes,no,no
Kohelet Rabbah 7:13,yes,119,yes,yes,no
Shir HaShirim Rabbah 1:9,yes,325,yes,no,no
Shir HaShirim Rabbah 3:8:4,yes,203,no,no,no
Avot d'Rabbi Natan A 1,no,"91, 248",no,no,no
Avot d'Rabbi Natan A 2,no,87,no,no,no
Avot d'Rabbi Natan A 31,no,"51, 114-15, 120, 244-5, 308",no,no,no
Avot d'Rabbi Natan A 37,no,"19, 47, 57-8, 89, 283",no,no,no
Avot d'Rabbi Natan A 43,no,"101, 272",no,no,no
Avot d'Rabi Natan B 36,no,"115-16, 245",no,no,no
Avot d'Rabi Natan B 43,no,"47, 58, 137, 245",no,no,no
Avot d'Rabi Natan B 46,no,107,no,no,no
Jerusalem Talmud Demai 1a:3,yes,153,no,no,no
Jerusalem Talmud Shabbat 2a:4,yes,57,no,no,no
Jerusalem Talmud Nedarim 9a:4,yes,103,no,no,no
Jerusalem Talmud Bava Metsia 2a:2,yes,125,yes,no,no
Jerusalem Talmud Horayot 3a:7,yes,134,no,no,no
Berakhot 6b,yes,117-18,yes,yes,no
Berakhot 61a,yes,"79, 80",yes,yes,no
Shabbat 67b,yes,12,yes,no,no
Shabbat 105b,yes,12,yes,no,no
Shabbat 133b,yes,106,yes,no,no
Shabbat 151b,yes,244,yes,no,no
Shabbat 155b,yes,155,yes,no,no
Shabbat 156a,yes,322,yes,no,no
Eruvin 18a,yes,"79, 80",yes,no,no
Eruvin 100b,yes,152,yes,no,no
Pesachim 75a,yes,165,yes,no,no
Yoma 54a,yes,"196, 202",yes,no,no
Sukkah 28a,yes,324,yes,yes,no
Taanit 7a,yes,121,yes,no,no
Megillah 9a,yes,79,yes,yes,no
Moed Katan 15b,yes,182,yes,no,no
Chagigah 12a,yes,248,yes,yes,no
Chagigah 16a,yes,59,yes,yes,no
Yevamot 62a,yes,260,yes,no,no
Yevamot 62b-63a,yes,81,yes,yes,no
Yevamot 63a,yes,80,yes,no,no
Yevamot 63b,yes,"82, 260",yes,no,no
Ketubot 37b,yes,165,yes,no,no
Sotah 14a,yes,106,yes,no,no
Sotah 17a,yes,216,yes,no,no
Sotah 27b,yes,166,yes,no,no
Kiddushin 30b,yes,210,yes,no,no
Bava Kamma 91b,yes,12,yes,no,no
Bava Metzia 32b,yes,"144, 150",yes,no,no
Bava Metzia 85a,yes,146,yes,no,no
Bava Batra 16b,yes,193,yes,no,no
Bava Batra 58a,yes,"53, 91, 182",yes,no,no
Bava Batra 99a,yes,196,yes,no,no
Bava Batra 134a,yes,324,yes,no,no
Sanhedrin 38a,yes,"99, 100, 248",yes,no,no
Sanhedrin 45a,yes,165,yes,no,no
Sanhedrin 52b,yes,165,yes,no,no
Sanhedrin 57b,yes,156,yes,no,no
Sanhedrin 59b,yes,"88, 158",yes,no,no
Sanhedrin 108a,yes,"57, 154",yes,no,no
Sanhedrin 108b,yes,"151, 346",yes,no,no
Avodah Zarah 5a,yes,260,yes,no,no
Avodah Zarah 8a,yes,158,yes,no,no
Avodah Zarah 27a,yes,89,yes,yes,no
Menachot 43b,yes,216,yes,no,no
Chullin 7a,yes,324,yes,no,no
Chullin 7a-7b,yes,153,yes,no,no
Chullin 89a,yes,216,yes,yes,no
Chullin 127a,yes,18,yes,no,no
Bekhorot 8a,yes,"83, 85",yes,no,no
Bekhorot 8b,yes,84,yes,no,no
Niddah 13b,yes,260,yes,no,no
Niddah 22b-23a,yes,49,yes,no,no
Niddah 23a,yes,77,yes,no,no
Niddah 31a,yes,"81, 89, 171",yes,no,no
Sefer Yetzirah 1:3,yes,"190, 199",yes,yes,no
Sefer Yetzirah 1:5,yes,199,yes,yes,no
Sefer Yetzirah 1:13,yes,222,yes,yes,no
Sefer Yetzirah 4:5-11,yes,"187, 206",yes,yes,no
Sefer Yetzirah 4:12,yes,234,yes,yes,no
Sefer Yetzirah 5:2,yes,206,yes,yes,no
Sefer Yetzirah 6:2,yes,206,yes,yes,no
P'siqta d'Rav Kahana 1:1,no,336,no,no,no
P'siqta d'Rav Kahana 1:2,no,"203, 216, 303",no,no,no
P'siqta d'Rav Kahana 4:4,no,53,no,no,no
P'siqta d'Rav Kahana 12:1,no,53,no,no,no
P'siqta Rabbati 153a,no,317,no,no,no
Tanchuma B'rei'shit 7,no,107-8,no,no,no
Tanchuma B'rei'shit 10,no,152,no,no,no
Tanchuma B'rei'shit 11,no,91,no,no,no
Tanchuma B'shalach 22,no,90,no,no,no
Tanchuma Chuqat 6,no,"64, 326",no,no,no
Tanchuma Emor 6,no,125,no,no,no
Tanchuma Ki Tisa' 27,no,168,no,no,no
Tanchuma Noach 2,no,140,no,no,no
Tanchuma Noach 5-6,no,149,no,no,no
Tanchuma Noach 7,no,140,no,no,no
Tanchuma Noach 11,no,"87, 154",no,no,no
Tanchuma P'qudey 3,no,"121, 202, 245",no,no,no
Tanchuma Q'doshim 8,no,106,no,no,no
Tanchuma Buber B'rei'shit 15,no,"56, 138",no,no,no
Tanchuma Buber Chuqat 12,no,64,no,no,no
Tanchuma Buber Chuqat 15,no,326,no,no,no
Tanchuma Buber Noach 2,no,140,no,no,no
Tanchuma Buber Noach 4,no,"149, 155",no,no,no
Tanchuma Buber Noach 10,no,140,no,no,no
Tanchuma Buber Noach 11,no,154,no,no,no
Tanchuma Buber Noach 17-18,no,154,no,no,no
Pirkei DeRabbi Eliezer 4,yes,205,yes,no,no
Pirkei DeRabbi Eliezer 9,yes,93,yes,no,no
Pirkei DeRabbi Eliezer 11,yes,"65, 304",yes,no,no
Pirkei DeRabbi Eliezer 12,yes,"64, 167",yes,no,no
Pirkei DeRabbi Eliezer 21,yes,"52, 152",yes,no,no
Pirkei DeRabbi Eliezer 29,yes,88,yes,no,no
Pirkei DeRabbi Eliezer 34,yes,162,yes,no,no
Midrash T'hilim (Psalms) 19:6,no,53,no,no,no
Midrash T'hilim (Psalms) 42:6,no,87,no,no,no
Midrash T'hilim (Psalms) 78:20,no,162,no,no,no
Midrash T'hilim (Psalms) 93:3,no,323,no,no,no
Shemot Rabbah 2:5,yes,303,yes,yes,no
Shemot Rabbah 5:9,yes,86,yes,no,no
Shemot Rabbah 13:2,yes,337,yes,no,no
Shemot Rabbah 21:6,yes,324,yes,no,no
Shemot Rabbah 30:3,yes,348,yes,no,no
Shemot Rabbah 30:13,yes,57,yes,no,no
Shemot Rabbah 30:16,yes,"48, 102",yes,no,no
Shemot Rabbah 31:9,yes,154-5,yes,no,no
Bemidbar Rabbah 12:4,yes,"100, 203, 216, 303",yes,no,no
Bemidbar Rabbah 12:6,yes,337,yes,no,no
Bemidbar Rabbah 12:8,yes,284,yes,no,no
Bemidbar Rabbah 17:5,yes,216,yes,no,no
Bemidbar Rabbah 20:15,yes,319,yes,no,no
Devarim Rabbah 7:7,yes,121,yes,no,no
